31/01/2023 12:42:01 - 0000:	 - train_loss: 0.991072:	 - test_loss: 0.968727:	 mIoU 0.0603
31/01/2023 12:42:09 - 0001:	 - train_loss: 0.948970:	 - test_loss: 0.915776:	 mIoU 0.1942
31/01/2023 12:42:17 - 0002:	 - train_loss: 0.896676:	 - test_loss: 0.828103:	 mIoU 0.2802
31/01/2023 12:42:25 - 0003:	 - train_loss: 0.828782:	 - test_loss: 0.721895:	 mIoU 0.3385
31/01/2023 12:42:33 - 0004:	 - train_loss: 0.818793:	 - test_loss: 0.703640:	 mIoU 0.3443
31/01/2023 12:42:40 - 0005:	 - train_loss: 0.716309:	 - test_loss: 0.681324:	 mIoU 0.4130
31/01/2023 12:42:48 - 0006:	 - train_loss: 0.662198:	 - test_loss: 0.624337:	 mIoU 0.4754
31/01/2023 12:42:56 - 0007:	 - train_loss: 0.617881:	 - test_loss: 0.598654:	 mIoU 0.4754
31/01/2023 12:43:04 - 0008:	 - train_loss: 0.658753:	 - test_loss: 0.600775:	 mIoU 0.4784
31/01/2023 12:43:12 - 0009:	 - train_loss: 0.617457:	 - test_loss: 0.641478:	 mIoU 0.4597
31/01/2023 12:43:20 - 0010:	 - train_loss: 0.592770:	 - test_loss: 0.591873:	 mIoU 0.4875
31/01/2023 12:43:28 - 0011:	 - train_loss: 0.613306:	 - test_loss: 0.556962:	 mIoU 0.5333
31/01/2023 12:43:36 - 0012:	 - train_loss: 0.555958:	 - test_loss: 0.616856:	 mIoU 0.4536
31/01/2023 12:43:43 - 0013:	 - train_loss: 0.568371:	 - test_loss: 0.565336:	 mIoU 0.5326
31/01/2023 12:43:51 - 0014:	 - train_loss: 0.514530:	 - test_loss: 0.548755:	 mIoU 0.5557
31/01/2023 12:43:59 - 0015:	 - train_loss: 0.546552:	 - test_loss: 0.556644:	 mIoU 0.5374
31/01/2023 12:44:07 - 0016:	 - train_loss: 0.517432:	 - test_loss: 0.536973:	 mIoU 0.5674
31/01/2023 12:44:15 - 0017:	 - train_loss: 0.524156:	 - test_loss: 0.512038:	 mIoU 0.5938
31/01/2023 12:44:22 - 0018:	 - train_loss: 0.514507:	 - test_loss: 0.510802:	 mIoU 0.6044
31/01/2023 12:44:30 - 0019:	 - train_loss: 0.504224:	 - test_loss: 0.495116:	 mIoU 0.6223
31/01/2023 12:44:38 - 0020:	 - train_loss: 0.570263:	 - test_loss: 0.507155:	 mIoU 0.6007
31/01/2023 12:44:46 - 0021:	 - train_loss: 0.478857:	 - test_loss: 0.571378:	 mIoU 0.5141
31/01/2023 12:44:54 - 0022:	 - train_loss: 0.525774:	 - test_loss: 0.498558:	 mIoU 0.6145
31/01/2023 12:45:02 - 0023:	 - train_loss: 0.492442:	 - test_loss: 0.492452:	 mIoU 0.6300
31/01/2023 12:45:09 - 0024:	 - train_loss: 0.474681:	 - test_loss: 0.504380:	 mIoU 0.6203
31/01/2023 12:45:17 - 0025:	 - train_loss: 0.466712:	 - test_loss: 0.537229:	 mIoU 0.5561
31/01/2023 12:45:25 - 0026:	 - train_loss: 0.468993:	 - test_loss: 0.497452:	 mIoU 0.6100
31/01/2023 12:45:33 - 0027:	 - train_loss: 0.476432:	 - test_loss: 0.530548:	 mIoU 0.5762
31/01/2023 12:45:41 - 0028:	 - train_loss: 0.482935:	 - test_loss: 0.504624:	 mIoU 0.6254
31/01/2023 12:45:49 - 0029:	 - train_loss: 0.488845:	 - test_loss: 0.482896:	 mIoU 0.6311
31/01/2023 12:45:56 - 0030:	 - train_loss: 0.454117:	 - test_loss: 0.478096:	 mIoU 0.6487
31/01/2023 12:46:04 - 0031:	 - train_loss: 0.495002:	 - test_loss: 0.546545:	 mIoU 0.5692
31/01/2023 12:46:12 - 0032:	 - train_loss: 0.468947:	 - test_loss: 0.496635:	 mIoU 0.6232
31/01/2023 12:46:20 - 0033:	 - train_loss: 0.491613:	 - test_loss: 0.462406:	 mIoU 0.6637
31/01/2023 12:46:28 - 0034:	 - train_loss: 0.423926:	 - test_loss: 0.487075:	 mIoU 0.6573
31/01/2023 12:46:35 - 0035:	 - train_loss: 0.464347:	 - test_loss: 0.468855:	 mIoU 0.6600
31/01/2023 12:46:43 - 0036:	 - train_loss: 0.444220:	 - test_loss: 0.543774:	 mIoU 0.5500
31/01/2023 12:46:51 - 0037:	 - train_loss: 0.454155:	 - test_loss: 0.495175:	 mIoU 0.6124
31/01/2023 12:46:59 - 0038:	 - train_loss: 0.442110:	 - test_loss: 0.468027:	 mIoU 0.6546
31/01/2023 12:47:07 - 0039:	 - train_loss: 0.426360:	 - test_loss: 0.494320:	 mIoU 0.6121
31/01/2023 12:47:14 - 0040:	 - train_loss: 0.444599:	 - test_loss: 0.464939:	 mIoU 0.6663
31/01/2023 12:47:22 - 0041:	 - train_loss: 0.424106:	 - test_loss: 0.484845:	 mIoU 0.6282
31/01/2023 12:47:30 - 0042:	 - train_loss: 0.428697:	 - test_loss: 0.463132:	 mIoU 0.6674
31/01/2023 12:47:38 - 0043:	 - train_loss: 0.414722:	 - test_loss: 0.459556:	 mIoU 0.6660
31/01/2023 12:47:46 - 0044:	 - train_loss: 0.441934:	 - test_loss: 0.473108:	 mIoU 0.6440
31/01/2023 12:47:53 - 0045:	 - train_loss: 0.426132:	 - test_loss: 0.460748:	 mIoU 0.6579
31/01/2023 12:48:01 - 0046:	 - train_loss: 0.420321:	 - test_loss: 0.483127:	 mIoU 0.6336
31/01/2023 12:48:09 - 0047:	 - train_loss: 0.453309:	 - test_loss: 0.449520:	 mIoU 0.6686
31/01/2023 12:48:17 - 0048:	 - train_loss: 0.421213:	 - test_loss: 0.454234:	 mIoU 0.6735
31/01/2023 12:48:25 - 0049:	 - train_loss: 0.417637:	 - test_loss: 0.454754:	 mIoU 0.6702
31/01/2023 12:48:32 - 0050:	 - train_loss: 0.434078:	 - test_loss: 0.448752:	 mIoU 0.6767
31/01/2023 12:48:40 - 0051:	 - train_loss: 0.424272:	 - test_loss: 0.462803:	 mIoU 0.6549
31/01/2023 12:48:48 - 0052:	 - train_loss: 0.420317:	 - test_loss: 0.450047:	 mIoU 0.6669
31/01/2023 12:48:56 - 0053:	 - train_loss: 0.418831:	 - test_loss: 0.493284:	 mIoU 0.6107
31/01/2023 12:49:04 - 0054:	 - train_loss: 0.399764:	 - test_loss: 0.446005:	 mIoU 0.6719
31/01/2023 12:49:12 - 0055:	 - train_loss: 0.406937:	 - test_loss: 0.431911:	 mIoU 0.6967
31/01/2023 12:49:19 - 0056:	 - train_loss: 0.427147:	 - test_loss: 0.450317:	 mIoU 0.6737
31/01/2023 12:49:27 - 0057:	 - train_loss: 0.402967:	 - test_loss: 0.491333:	 mIoU 0.6251
31/01/2023 12:49:35 - 0058:	 - train_loss: 0.420098:	 - test_loss: 0.435721:	 mIoU 0.6831
31/01/2023 12:49:43 - 0059:	 - train_loss: 0.428637:	 - test_loss: 0.454004:	 mIoU 0.6541
31/01/2023 12:49:51 - 0060:	 - train_loss: 0.453809:	 - test_loss: 0.429603:	 mIoU 0.6944
31/01/2023 12:49:58 - 0061:	 - train_loss: 0.426959:	 - test_loss: 0.443680:	 mIoU 0.6779
31/01/2023 12:50:06 - 0062:	 - train_loss: 0.443356:	 - test_loss: 0.449345:	 mIoU 0.6721
31/01/2023 12:50:14 - 0063:	 - train_loss: 0.457167:	 - test_loss: 0.488055:	 mIoU 0.6061
31/01/2023 12:50:22 - 0064:	 - train_loss: 0.433505:	 - test_loss: 0.442416:	 mIoU 0.6838
31/01/2023 12:50:30 - 0065:	 - train_loss: 0.391169:	 - test_loss: 0.436451:	 mIoU 0.6910
31/01/2023 12:50:37 - 0066:	 - train_loss: 0.408594:	 - test_loss: 0.476335:	 mIoU 0.6297
31/01/2023 12:50:45 - 0067:	 - train_loss: 0.382247:	 - test_loss: 0.440742:	 mIoU 0.6834
31/01/2023 12:50:53 - 0068:	 - train_loss: 0.433351:	 - test_loss: 0.460759:	 mIoU 0.6454
31/01/2023 12:51:01 - 0069:	 - train_loss: 0.391962:	 - test_loss: 0.432149:	 mIoU 0.6909
31/01/2023 12:51:09 - 0070:	 - train_loss: 0.385518:	 - test_loss: 0.431647:	 mIoU 0.6917
31/01/2023 12:51:16 - 0071:	 - train_loss: 0.424382:	 - test_loss: 0.432480:	 mIoU 0.6890
31/01/2023 12:51:24 - 0072:	 - train_loss: 0.399020:	 - test_loss: 0.426879:	 mIoU 0.6980
31/01/2023 12:51:32 - 0073:	 - train_loss: 0.424229:	 - test_loss: 0.421324:	 mIoU 0.7043
31/01/2023 12:51:40 - 0074:	 - train_loss: 0.398576:	 - test_loss: 0.430812:	 mIoU 0.6894
31/01/2023 12:51:48 - 0075:	 - train_loss: 0.405275:	 - test_loss: 0.424897:	 mIoU 0.6984
31/01/2023 12:51:55 - 0076:	 - train_loss: 0.386224:	 - test_loss: 0.415801:	 mIoU 0.7099
31/01/2023 12:52:03 - 0077:	 - train_loss: 0.396558:	 - test_loss: 0.421851:	 mIoU 0.7050
31/01/2023 12:52:11 - 0078:	 - train_loss: 0.384896:	 - test_loss: 0.420251:	 mIoU 0.7037
31/01/2023 12:52:19 - 0079:	 - train_loss: 0.385362:	 - test_loss: 0.423955:	 mIoU 0.6999
31/01/2023 12:52:27 - 0080:	 - train_loss: 0.400038:	 - test_loss: 0.418627:	 mIoU 0.7075
31/01/2023 12:52:34 - 0081:	 - train_loss: 0.349071:	 - test_loss: 0.422342:	 mIoU 0.7039
31/01/2023 12:52:42 - 0082:	 - train_loss: 0.394747:	 - test_loss: 0.419646:	 mIoU 0.7069
31/01/2023 12:52:50 - 0083:	 - train_loss: 0.392339:	 - test_loss: 0.422333:	 mIoU 0.7091
31/01/2023 12:52:58 - 0084:	 - train_loss: 0.368079:	 - test_loss: 0.415391:	 mIoU 0.7142
31/01/2023 12:53:06 - 0085:	 - train_loss: 0.389671:	 - test_loss: 0.419551:	 mIoU 0.7028
31/01/2023 12:53:13 - 0086:	 - train_loss: 0.405569:	 - test_loss: 0.434870:	 mIoU 0.6829
31/01/2023 12:53:21 - 0087:	 - train_loss: 0.418096:	 - test_loss: 0.430382:	 mIoU 0.6981
31/01/2023 12:53:29 - 0088:	 - train_loss: 0.395313:	 - test_loss: 0.434154:	 mIoU 0.6893
31/01/2023 12:53:37 - 0089:	 - train_loss: 0.412432:	 - test_loss: 0.545836:	 mIoU 0.5462
31/01/2023 12:53:45 - 0090:	 - train_loss: 0.392535:	 - test_loss: 0.447916:	 mIoU 0.6658
31/01/2023 12:53:53 - 0091:	 - train_loss: 0.403965:	 - test_loss: 0.441097:	 mIoU 0.6770
31/01/2023 12:54:00 - 0092:	 - train_loss: 0.388082:	 - test_loss: 0.430905:	 mIoU 0.6951
31/01/2023 12:54:08 - 0093:	 - train_loss: 0.398083:	 - test_loss: 0.417262:	 mIoU 0.7100
31/01/2023 12:54:16 - 0094:	 - train_loss: 0.382871:	 - test_loss: 0.419901:	 mIoU 0.7074
31/01/2023 12:54:24 - 0095:	 - train_loss: 0.372656:	 - test_loss: 0.439341:	 mIoU 0.6774
31/01/2023 12:54:32 - 0096:	 - train_loss: 0.395991:	 - test_loss: 0.431919:	 mIoU 0.6833
31/01/2023 12:54:39 - 0097:	 - train_loss: 0.384484:	 - test_loss: 0.435590:	 mIoU 0.6788
31/01/2023 12:54:47 - 0098:	 - train_loss: 0.370054:	 - test_loss: 0.417749:	 mIoU 0.7106
31/01/2023 12:54:55 - 0099:	 - train_loss: 0.388137:	 - test_loss: 0.418282:	 mIoU 0.7049
31/01/2023 12:55:03 - 0100:	 - train_loss: 0.383906:	 - test_loss: 0.439960:	 mIoU 0.6703
31/01/2023 12:55:11 - 0101:	 - train_loss: 0.424862:	 - test_loss: 0.462135:	 mIoU 0.6491
31/01/2023 12:55:19 - 0102:	 - train_loss: 0.390990:	 - test_loss: 0.416383:	 mIoU 0.7135
31/01/2023 12:55:26 - 0103:	 - train_loss: 0.396466:	 - test_loss: 0.409106:	 mIoU 0.7164
31/01/2023 12:55:34 - 0104:	 - train_loss: 0.364526:	 - test_loss: 0.410673:	 mIoU 0.7160
31/01/2023 12:55:42 - 0105:	 - train_loss: 0.380111:	 - test_loss: 0.410751:	 mIoU 0.7134
31/01/2023 12:55:50 - 0106:	 - train_loss: 0.380829:	 - test_loss: 0.407678:	 mIoU 0.7169
31/01/2023 12:55:58 - 0107:	 - train_loss: 0.379246:	 - test_loss: 0.418276:	 mIoU 0.7101
31/01/2023 12:56:05 - 0108:	 - train_loss: 0.370499:	 - test_loss: 0.410936:	 mIoU 0.7163
31/01/2023 12:56:13 - 0109:	 - train_loss: 0.367792:	 - test_loss: 0.410273:	 mIoU 0.7165
31/01/2023 12:56:21 - 0110:	 - train_loss: 0.368161:	 - test_loss: 0.411550:	 mIoU 0.7135
31/01/2023 12:56:29 - 0111:	 - train_loss: 0.379718:	 - test_loss: 0.415692:	 mIoU 0.7148
31/01/2023 12:56:37 - 0112:	 - train_loss: 0.379317:	 - test_loss: 0.429088:	 mIoU 0.6931
