24/02/2023 17:29:23 - 0006:	 - train_loss: 0.840060:	 - test_loss: 0.787392:	 mIoU 0.3376
24/02/2023 17:29:28 - 0007:	 - train_loss: 0.786558:	 - test_loss: 0.724719:	 mIoU 0.3868
24/02/2023 17:29:32 - 0008:	 - train_loss: 0.735906:	 - test_loss: 0.692819:	 mIoU 0.3621
24/02/2023 17:29:37 - 0009:	 - train_loss: 0.659120:	 - test_loss: 0.628773:	 mIoU 0.4387
24/02/2023 17:29:41 - 0010:	 - train_loss: 0.652930:	 - test_loss: 0.602488:	 mIoU 0.4590
24/02/2023 17:29:46 - 0011:	 - train_loss: 0.607266:	 - test_loss: 0.564241:	 mIoU 0.5075
24/02/2023 17:29:51 - 0012:	 - train_loss: 0.584707:	 - test_loss: 0.828033:	 mIoU 0.1927
24/02/2023 17:29:55 - 0013:	 - train_loss: 0.601907:	 - test_loss: 0.551731:	 mIoU 0.5329
24/02/2023 17:30:00 - 0014:	 - train_loss: 0.539656:	 - test_loss: 0.558979:	 mIoU 0.5226
24/02/2023 17:30:05 - 0015:	 - train_loss: 0.551766:	 - test_loss: 0.560881:	 mIoU 0.5117
24/02/2023 17:30:09 - 0016:	 - train_loss: 0.530654:	 - test_loss: 0.530783:	 mIoU 0.5507
24/02/2023 17:30:14 - 0017:	 - train_loss: 0.511678:	 - test_loss: 0.556963:	 mIoU 0.5407
24/02/2023 17:30:19 - 0018:	 - train_loss: 0.487817:	 - test_loss: 0.537030:	 mIoU 0.5545
24/02/2023 17:30:23 - 0019:	 - train_loss: 0.540716:	 - test_loss: 0.521684:	 mIoU 0.5638
24/02/2023 17:30:28 - 0020:	 - train_loss: 0.547374:	 - test_loss: 0.622188:	 mIoU 0.4728
24/02/2023 17:30:33 - 0021:	 - train_loss: 0.535455:	 - test_loss: 0.488390:	 mIoU 0.6090
24/02/2023 17:30:37 - 0022:	 - train_loss: 0.482042:	 - test_loss: 0.489982:	 mIoU 0.6139
24/02/2023 17:30:42 - 0023:	 - train_loss: 0.517209:	 - test_loss: 0.513800:	 mIoU 0.5809
24/02/2023 17:30:46 - 0024:	 - train_loss: 0.457939:	 - test_loss: 0.519842:	 mIoU 0.5729
24/02/2023 17:30:51 - 0025:	 - train_loss: 0.444496:	 - test_loss: 0.487491:	 mIoU 0.6224
24/02/2023 17:30:56 - 0026:	 - train_loss: 0.503508:	 - test_loss: 0.543864:	 mIoU 0.5404
24/02/2023 17:31:00 - 0027:	 - train_loss: 0.478711:	 - test_loss: 0.488148:	 mIoU 0.6206
24/02/2023 17:31:05 - 0028:	 - train_loss: 0.534031:	 - test_loss: 0.474616:	 mIoU 0.6388
24/02/2023 17:31:10 - 0029:	 - train_loss: 0.504319:	 - test_loss: 0.482291:	 mIoU 0.6452
24/02/2023 17:31:14 - 0030:	 - train_loss: 0.451079:	 - test_loss: 0.469138:	 mIoU 0.6422
24/02/2023 17:31:19 - 0031:	 - train_loss: 0.444098:	 - test_loss: 0.492403:	 mIoU 0.6121
24/02/2023 17:31:24 - 0032:	 - train_loss: 0.446454:	 - test_loss: 0.459300:	 mIoU 0.6511
24/02/2023 17:31:28 - 0033:	 - train_loss: 0.449308:	 - test_loss: 0.481419:	 mIoU 0.6218
24/02/2023 17:31:33 - 0034:	 - train_loss: 0.449748:	 - test_loss: 0.479105:	 mIoU 0.6398
24/02/2023 17:31:38 - 0035:	 - train_loss: 0.474032:	 - test_loss: 0.468397:	 mIoU 0.6421
24/02/2023 17:31:42 - 0036:	 - train_loss: 0.453469:	 - test_loss: 0.450343:	 mIoU 0.6637
24/02/2023 17:31:47 - 0037:	 - train_loss: 0.402258:	 - test_loss: 0.460093:	 mIoU 0.6597
24/02/2023 17:31:51 - 0038:	 - train_loss: 0.420167:	 - test_loss: 0.478757:	 mIoU 0.6302
24/02/2023 17:31:56 - 0039:	 - train_loss: 0.408950:	 - test_loss: 0.446276:	 mIoU 0.6655
24/02/2023 17:32:01 - 0040:	 - train_loss: 0.428597:	 - test_loss: 0.472696:	 mIoU 0.6300
24/02/2023 17:32:05 - 0041:	 - train_loss: 0.425374:	 - test_loss: 0.464801:	 mIoU 0.6389
24/02/2023 17:32:10 - 0042:	 - train_loss: 0.430561:	 - test_loss: 0.461074:	 mIoU 0.6494
24/02/2023 17:32:15 - 0043:	 - train_loss: 0.436757:	 - test_loss: 0.469793:	 mIoU 0.6390
24/02/2023 17:32:19 - 0044:	 - train_loss: 0.396143:	 - test_loss: 0.471252:	 mIoU 0.6322
24/02/2023 17:32:24 - 0045:	 - train_loss: 0.426662:	 - test_loss: 0.463233:	 mIoU 0.6450
24/02/2023 17:32:29 - 0046:	 - train_loss: 0.442317:	 - test_loss: 0.461349:	 mIoU 0.6590
24/02/2023 17:32:33 - 0047:	 - train_loss: 0.413147:	 - test_loss: 0.456825:	 mIoU 0.6606
24/02/2023 17:32:38 - 0048:	 - train_loss: 0.402997:	 - test_loss: 0.446580:	 mIoU 0.6707
24/02/2023 17:32:43 - 0049:	 - train_loss: 0.401027:	 - test_loss: 0.449297:	 mIoU 0.6713
24/02/2023 17:32:47 - 0050:	 - train_loss: 0.447834:	 - test_loss: 0.515742:	 mIoU 0.5674
24/02/2023 17:32:52 - 0051:	 - train_loss: 0.431492:	 - test_loss: 0.499166:	 mIoU 0.6113
24/02/2023 17:32:56 - 0052:	 - train_loss: 0.407313:	 - test_loss: 0.440255:	 mIoU 0.6720
24/02/2023 17:33:01 - 0053:	 - train_loss: 0.428158:	 - test_loss: 0.447981:	 mIoU 0.6653
24/02/2023 17:33:06 - 0054:	 - train_loss: 0.398740:	 - test_loss: 0.473045:	 mIoU 0.6342
24/02/2023 17:33:10 - 0055:	 - train_loss: 0.428044:	 - test_loss: 0.458094:	 mIoU 0.6477
24/02/2023 17:33:15 - 0056:	 - train_loss: 0.403920:	 - test_loss: 0.459469:	 mIoU 0.6477
24/02/2023 17:33:20 - 0057:	 - train_loss: 0.424069:	 - test_loss: 0.435908:	 mIoU 0.6846
24/02/2023 17:33:24 - 0058:	 - train_loss: 0.418494:	 - test_loss: 0.436869:	 mIoU 0.6790
24/02/2023 17:33:29 - 0059:	 - train_loss: 0.429535:	 - test_loss: 0.453821:	 mIoU 0.6549
24/02/2023 17:33:34 - 0060:	 - train_loss: 0.402723:	 - test_loss: 0.458660:	 mIoU 0.6536
24/02/2023 17:33:38 - 0061:	 - train_loss: 0.420222:	 - test_loss: 0.448642:	 mIoU 0.6553
24/02/2023 17:33:43 - 0062:	 - train_loss: 0.396936:	 - test_loss: 0.445933:	 mIoU 0.6614
24/02/2023 17:33:48 - 0063:	 - train_loss: 0.391831:	 - test_loss: 0.442558:	 mIoU 0.6662
24/02/2023 17:33:52 - 0064:	 - train_loss: 0.401718:	 - test_loss: 0.457909:	 mIoU 0.6472
24/02/2023 17:33:57 - 0065:	 - train_loss: 0.390831:	 - test_loss: 0.436842:	 mIoU 0.6820
24/02/2023 17:34:02 - 0066:	 - train_loss: 0.427267:	 - test_loss: 0.443601:	 mIoU 0.6727
24/02/2023 17:34:06 - 0067:	 - train_loss: 0.367039:	 - test_loss: 0.447621:	 mIoU 0.6640
24/02/2023 17:34:11 - 0068:	 - train_loss: 0.398624:	 - test_loss: 0.434185:	 mIoU 0.6818
24/02/2023 17:34:15 - 0069:	 - train_loss: 0.413938:	 - test_loss: 0.435666:	 mIoU 0.6844
24/02/2023 17:34:20 - 0070:	 - train_loss: 0.420366:	 - test_loss: 0.452845:	 mIoU 0.6583
24/02/2023 17:34:25 - 0071:	 - train_loss: 0.399625:	 - test_loss: 0.471576:	 mIoU 0.6293
24/02/2023 17:34:29 - 0072:	 - train_loss: 0.414232:	 - test_loss: 0.456734:	 mIoU 0.6490
24/02/2023 17:34:34 - 0073:	 - train_loss: 0.393410:	 - test_loss: 0.440427:	 mIoU 0.6748
24/02/2023 17:34:39 - 0074:	 - train_loss: 0.391803:	 - test_loss: 0.447738:	 mIoU 0.6771
24/02/2023 17:34:43 - 0075:	 - train_loss: 0.393910:	 - test_loss: 0.439422:	 mIoU 0.6793
24/02/2023 17:34:48 - 0076:	 - train_loss: 0.387368:	 - test_loss: 0.454967:	 mIoU 0.6509
24/02/2023 17:34:53 - 0077:	 - train_loss: 0.393157:	 - test_loss: 0.451918:	 mIoU 0.6437
24/02/2023 17:34:57 - 0078:	 - train_loss: 0.382071:	 - test_loss: 0.448212:	 mIoU 0.6587
24/02/2023 17:35:02 - 0079:	 - train_loss: 0.402991:	 - test_loss: 0.445169:	 mIoU 0.6620
24/02/2023 17:35:07 - 0080:	 - train_loss: 0.391750:	 - test_loss: 0.436056:	 mIoU 0.6797
24/02/2023 17:35:11 - 0081:	 - train_loss: 0.388382:	 - test_loss: 0.434142:	 mIoU 0.6793
24/02/2023 17:35:16 - 0082:	 - train_loss: 0.426049:	 - test_loss: 0.419362:	 mIoU 0.7025
24/02/2023 17:35:21 - 0083:	 - train_loss: 0.393299:	 - test_loss: 0.425199:	 mIoU 0.6937
24/02/2023 17:35:25 - 0084:	 - train_loss: 0.391693:	 - test_loss: 0.431346:	 mIoU 0.6767
24/02/2023 17:35:30 - 0085:	 - train_loss: 0.413710:	 - test_loss: 0.459742:	 mIoU 0.6427
24/02/2023 17:35:35 - 0086:	 - train_loss: 0.389193:	 - test_loss: 0.434264:	 mIoU 0.6865
24/02/2023 17:35:39 - 0087:	 - train_loss: 0.394789:	 - test_loss: 0.434677:	 mIoU 0.6817
24/02/2023 17:35:44 - 0088:	 - train_loss: 0.373230:	 - test_loss: 0.429632:	 mIoU 0.6898
24/02/2023 17:35:48 - 0089:	 - train_loss: 0.395394:	 - test_loss: 0.418362:	 mIoU 0.6985
24/02/2023 17:35:53 - 0090:	 - train_loss: 0.367846:	 - test_loss: 0.429622:	 mIoU 0.6905
24/02/2023 17:35:58 - 0091:	 - train_loss: 0.392583:	 - test_loss: 0.423925:	 mIoU 0.7020
24/02/2023 17:36:02 - 0092:	 - train_loss: 0.356540:	 - test_loss: 0.415839:	 mIoU 0.7031
24/02/2023 17:36:07 - 0093:	 - train_loss: 0.382366:	 - test_loss: 0.424665:	 mIoU 0.6901
24/02/2023 17:36:12 - 0094:	 - train_loss: 0.390843:	 - test_loss: 0.466061:	 mIoU 0.6435
24/02/2023 17:36:16 - 0095:	 - train_loss: 0.384546:	 - test_loss: 0.432678:	 mIoU 0.6827
24/02/2023 17:36:21 - 0096:	 - train_loss: 0.364271:	 - test_loss: 0.436217:	 mIoU 0.6702
24/02/2023 17:36:26 - 0097:	 - train_loss: 0.365388:	 - test_loss: 0.424859:	 mIoU 0.6929
24/02/2023 17:36:30 - 0098:	 - train_loss: 0.383986:	 - test_loss: 0.421982:	 mIoU 0.6924
24/02/2023 17:36:35 - 0099:	 - train_loss: 0.371573:	 - test_loss: 0.430174:	 mIoU 0.6877
24/02/2023 17:36:40 - 0100:	 - train_loss: 0.361983:	 - test_loss: 0.413252:	 mIoU 0.7036
24/02/2023 17:36:44 - 0101:	 - train_loss: 0.391617:	 - test_loss: 0.407616:	 mIoU 0.7163
24/02/2023 17:36:49 - 0102:	 - train_loss: 0.377399:	 - test_loss: 0.416414:	 mIoU 0.7093
24/02/2023 17:36:53 - 0103:	 - train_loss: 0.356721:	 - test_loss: 0.445363:	 mIoU 0.6640
24/02/2023 17:36:58 - 0104:	 - train_loss: 0.375790:	 - test_loss: 0.431628:	 mIoU 0.6869
24/02/2023 17:37:03 - 0105:	 - train_loss: 0.349494:	 - test_loss: 0.416298:	 mIoU 0.7055
24/02/2023 17:37:07 - 0106:	 - train_loss: 0.377735:	 - test_loss: 0.417801:	 mIoU 0.6992
24/02/2023 17:37:12 - 0107:	 - train_loss: 0.386125:	 - test_loss: 0.410865:	 mIoU 0.7123
24/02/2023 17:37:17 - 0108:	 - train_loss: 0.376235:	 - test_loss: 0.414415:	 mIoU 0.7024
24/02/2023 17:37:21 - 0109:	 - train_loss: 0.372341:	 - test_loss: 0.416278:	 mIoU 0.7039
24/02/2023 17:37:26 - 0110:	 - train_loss: 0.379822:	 - test_loss: 0.434440:	 mIoU 0.6712
24/02/2023 17:37:31 - 0111:	 - train_loss: 0.422168:	 - test_loss: 0.419660:	 mIoU 0.6935
24/02/2023 17:37:35 - 0112:	 - train_loss: 0.392207:	 - test_loss: 0.428737:	 mIoU 0.6858
24/02/2023 17:37:40 - 0113:	 - train_loss: 0.400944:	 - test_loss: 0.415569:	 mIoU 0.7066
24/02/2023 17:37:45 - 0114:	 - train_loss: 0.379615:	 - test_loss: 0.416601:	 mIoU 0.7008
24/02/2023 17:37:49 - 0115:	 - train_loss: 0.372907:	 - test_loss: 0.421006:	 mIoU 0.6980
24/02/2023 17:37:54 - 0116:	 - train_loss: 0.382146:	 - test_loss: 0.405608:	 mIoU 0.7189
24/02/2023 17:37:59 - 0117:	 - train_loss: 0.360689:	 - test_loss: 0.423320:	 mIoU 0.6983
24/02/2023 17:38:03 - 0118:	 - train_loss: 0.382707:	 - test_loss: 0.425449:	 mIoU 0.6985
24/02/2023 17:38:08 - 0119:	 - train_loss: 0.382109:	 - test_loss: 0.409988:	 mIoU 0.7141
24/02/2023 17:38:13 - 0120:	 - train_loss: 0.441414:	 - test_loss: 0.414137:	 mIoU 0.7002
24/02/2023 17:38:17 - 0121:	 - train_loss: 0.367531:	 - test_loss: 0.415604:	 mIoU 0.6995
24/02/2023 17:38:22 - 0122:	 - train_loss: 0.388524:	 - test_loss: 0.409141:	 mIoU 0.7073
24/02/2023 17:38:27 - 0123:	 - train_loss: 0.362097:	 - test_loss: 0.416391:	 mIoU 0.7012
24/02/2023 17:38:31 - 0124:	 - train_loss: 0.373642:	 - test_loss: 0.430140:	 mIoU 0.6935
24/02/2023 17:38:36 - 0125:	 - train_loss: 0.396252:	 - test_loss: 0.421031:	 mIoU 0.7031
24/02/2023 17:38:40 - 0126:	 - train_loss: 0.384428:	 - test_loss: 0.423149:	 mIoU 0.7029
24/02/2023 17:38:45 - 0127:	 - train_loss: 0.381012:	 - test_loss: 0.407459:	 mIoU 0.7111
24/02/2023 17:38:50 - 0128:	 - train_loss: 0.350015:	 - test_loss: 0.435431:	 mIoU 0.6750
24/02/2023 17:38:54 - 0129:	 - train_loss: 0.376315:	 - test_loss: 0.424691:	 mIoU 0.6887
24/02/2023 17:38:59 - 0130:	 - train_loss: 0.363663:	 - test_loss: 0.417644:	 mIoU 0.6953
