12/02/2023 13:31:01 - 0005:	 - train_loss: 0.974654:	 - test_loss: 0.954823:	 mIoU 0.0269
12/02/2023 13:31:04 - 0006:	 - train_loss: 0.929091:	 - test_loss: 0.893194:	 mIoU 0.1436
12/02/2023 13:31:08 - 0007:	 - train_loss: 0.884516:	 - test_loss: 0.781938:	 mIoU 0.2776
12/02/2023 13:31:11 - 0008:	 - train_loss: 0.762403:	 - test_loss: 0.715097:	 mIoU 0.3093
12/02/2023 13:31:15 - 0009:	 - train_loss: 0.719089:	 - test_loss: 0.773060:	 mIoU 0.2366
12/02/2023 13:31:18 - 0010:	 - train_loss: 0.701912:	 - test_loss: 0.635553:	 mIoU 0.4090
12/02/2023 13:31:22 - 0011:	 - train_loss: 0.629143:	 - test_loss: 0.617181:	 mIoU 0.4402
12/02/2023 13:31:25 - 0012:	 - train_loss: 0.633623:	 - test_loss: 0.558395:	 mIoU 0.5311
12/02/2023 13:31:29 - 0013:	 - train_loss: 0.578866:	 - test_loss: 0.559933:	 mIoU 0.5242
12/02/2023 13:31:33 - 0014:	 - train_loss: 0.596961:	 - test_loss: 0.536749:	 mIoU 0.5872
12/02/2023 13:31:36 - 0015:	 - train_loss: 0.567275:	 - test_loss: 0.552109:	 mIoU 0.5691
12/02/2023 13:31:40 - 0016:	 - train_loss: 0.565412:	 - test_loss: 0.523780:	 mIoU 0.5948
12/02/2023 13:31:43 - 0017:	 - train_loss: 0.548152:	 - test_loss: 0.550022:	 mIoU 0.5516
12/02/2023 13:31:47 - 0018:	 - train_loss: 0.547386:	 - test_loss: 0.506279:	 mIoU 0.6193
12/02/2023 13:31:50 - 0019:	 - train_loss: 0.487887:	 - test_loss: 0.538500:	 mIoU 0.5903
12/02/2023 13:31:54 - 0020:	 - train_loss: 0.523577:	 - test_loss: 0.498282:	 mIoU 0.6143
12/02/2023 13:31:57 - 0021:	 - train_loss: 0.523251:	 - test_loss: 0.492620:	 mIoU 0.6340
12/02/2023 13:32:01 - 0022:	 - train_loss: 0.480529:	 - test_loss: 0.492192:	 mIoU 0.6218
12/02/2023 13:32:04 - 0023:	 - train_loss: 0.498286:	 - test_loss: 0.513726:	 mIoU 0.5978
12/02/2023 13:32:08 - 0024:	 - train_loss: 0.473845:	 - test_loss: 0.483085:	 mIoU 0.6383
12/02/2023 13:32:11 - 0025:	 - train_loss: 0.487513:	 - test_loss: 0.492898:	 mIoU 0.6162
12/02/2023 13:32:15 - 0026:	 - train_loss: 0.475310:	 - test_loss: 0.493724:	 mIoU 0.6136
12/02/2023 13:32:18 - 0027:	 - train_loss: 0.444419:	 - test_loss: 0.466476:	 mIoU 0.6574
12/02/2023 13:32:22 - 0028:	 - train_loss: 0.532309:	 - test_loss: 0.473525:	 mIoU 0.6523
12/02/2023 13:32:26 - 0029:	 - train_loss: 0.490887:	 - test_loss: 0.472502:	 mIoU 0.6437
12/02/2023 13:32:29 - 0030:	 - train_loss: 0.488990:	 - test_loss: 0.475954:	 mIoU 0.6313
12/02/2023 13:32:33 - 0031:	 - train_loss: 0.475270:	 - test_loss: 0.487579:	 mIoU 0.6298
12/02/2023 13:32:36 - 0032:	 - train_loss: 0.460008:	 - test_loss: 0.469985:	 mIoU 0.6552
12/02/2023 13:32:40 - 0033:	 - train_loss: 0.490217:	 - test_loss: 0.482796:	 mIoU 0.6315
12/02/2023 13:32:43 - 0034:	 - train_loss: 0.475285:	 - test_loss: 0.489014:	 mIoU 0.6224
12/02/2023 13:32:47 - 0035:	 - train_loss: 0.486703:	 - test_loss: 0.469769:	 mIoU 0.6492
12/02/2023 13:32:50 - 0036:	 - train_loss: 0.444487:	 - test_loss: 0.458645:	 mIoU 0.6560
12/02/2023 13:32:54 - 0037:	 - train_loss: 0.470525:	 - test_loss: 0.484461:	 mIoU 0.6418
12/02/2023 13:32:58 - 0038:	 - train_loss: 0.422232:	 - test_loss: 0.448917:	 mIoU 0.6689
12/02/2023 13:33:01 - 0039:	 - train_loss: 0.442961:	 - test_loss: 0.453400:	 mIoU 0.6641
12/02/2023 13:33:05 - 0040:	 - train_loss: 0.449000:	 - test_loss: 0.456198:	 mIoU 0.6663
12/02/2023 13:33:08 - 0041:	 - train_loss: 0.448261:	 - test_loss: 0.447930:	 mIoU 0.6617
12/02/2023 13:33:12 - 0042:	 - train_loss: 0.446051:	 - test_loss: 0.456181:	 mIoU 0.6602
12/02/2023 13:33:15 - 0043:	 - train_loss: 0.444622:	 - test_loss: 0.460564:	 mIoU 0.6484
12/02/2023 13:33:19 - 0044:	 - train_loss: 0.451269:	 - test_loss: 0.442933:	 mIoU 0.6696
12/02/2023 13:33:22 - 0045:	 - train_loss: 0.478855:	 - test_loss: 0.436923:	 mIoU 0.6811
12/02/2023 13:33:26 - 0046:	 - train_loss: 0.450326:	 - test_loss: 0.454317:	 mIoU 0.6514
12/02/2023 13:33:29 - 0047:	 - train_loss: 0.449852:	 - test_loss: 0.448675:	 mIoU 0.6709
12/02/2023 13:33:33 - 0048:	 - train_loss: 0.433040:	 - test_loss: 0.447517:	 mIoU 0.6633
12/02/2023 13:33:36 - 0049:	 - train_loss: 0.413468:	 - test_loss: 0.452318:	 mIoU 0.6577
12/02/2023 13:33:40 - 0050:	 - train_loss: 0.443522:	 - test_loss: 0.434012:	 mIoU 0.6814
12/02/2023 13:33:43 - 0051:	 - train_loss: 0.471877:	 - test_loss: 0.450769:	 mIoU 0.6627
12/02/2023 13:33:47 - 0052:	 - train_loss: 0.400789:	 - test_loss: 0.467723:	 mIoU 0.6546
12/02/2023 13:33:50 - 0053:	 - train_loss: 0.396508:	 - test_loss: 0.464420:	 mIoU 0.6490
12/02/2023 13:33:54 - 0054:	 - train_loss: 0.413314:	 - test_loss: 0.439333:	 mIoU 0.6732
12/02/2023 13:33:58 - 0055:	 - train_loss: 0.431466:	 - test_loss: 0.454486:	 mIoU 0.6691
12/02/2023 13:34:01 - 0056:	 - train_loss: 0.402193:	 - test_loss: 0.447436:	 mIoU 0.6623
12/02/2023 13:34:05 - 0057:	 - train_loss: 0.425736:	 - test_loss: 0.430978:	 mIoU 0.6825
12/02/2023 13:34:08 - 0058:	 - train_loss: 0.431824:	 - test_loss: 0.536454:	 mIoU 0.5570
12/02/2023 13:34:12 - 0059:	 - train_loss: 0.472752:	 - test_loss: 0.440885:	 mIoU 0.6698
12/02/2023 13:34:15 - 0060:	 - train_loss: 0.420515:	 - test_loss: 0.430574:	 mIoU 0.6850
12/02/2023 13:34:19 - 0061:	 - train_loss: 0.403880:	 - test_loss: 0.429596:	 mIoU 0.6770
12/02/2023 13:34:22 - 0062:	 - train_loss: 0.420650:	 - test_loss: 0.446398:	 mIoU 0.6773
12/02/2023 13:34:26 - 0063:	 - train_loss: 0.416620:	 - test_loss: 0.440384:	 mIoU 0.6778
12/02/2023 13:34:29 - 0064:	 - train_loss: 0.457650:	 - test_loss: 0.446433:	 mIoU 0.6625
12/02/2023 13:34:33 - 0065:	 - train_loss: 0.407435:	 - test_loss: 0.447414:	 mIoU 0.6676
12/02/2023 13:34:36 - 0066:	 - train_loss: 0.437487:	 - test_loss: 0.449194:	 mIoU 0.6592
12/02/2023 13:34:40 - 0067:	 - train_loss: 0.427286:	 - test_loss: 0.497143:	 mIoU 0.6014
12/02/2023 13:34:43 - 0068:	 - train_loss: 0.424144:	 - test_loss: 0.442033:	 mIoU 0.6727
12/02/2023 13:34:47 - 0069:	 - train_loss: 0.415435:	 - test_loss: 0.448554:	 mIoU 0.6652
12/02/2023 13:34:51 - 0070:	 - train_loss: 0.392346:	 - test_loss: 0.425240:	 mIoU 0.6857
12/02/2023 13:34:54 - 0071:	 - train_loss: 0.403501:	 - test_loss: 0.437460:	 mIoU 0.6763
12/02/2023 13:34:58 - 0072:	 - train_loss: 0.406828:	 - test_loss: 0.439633:	 mIoU 0.6743
12/02/2023 13:35:01 - 0073:	 - train_loss: 0.429034:	 - test_loss: 0.422410:	 mIoU 0.6884
12/02/2023 13:35:05 - 0074:	 - train_loss: 0.417753:	 - test_loss: 0.446324:	 mIoU 0.6656
12/02/2023 13:35:08 - 0075:	 - train_loss: 0.383633:	 - test_loss: 0.434993:	 mIoU 0.6789
12/02/2023 13:35:12 - 0076:	 - train_loss: 0.426560:	 - test_loss: 0.432336:	 mIoU 0.6757
12/02/2023 13:35:15 - 0077:	 - train_loss: 0.397484:	 - test_loss: 0.426104:	 mIoU 0.6840
12/02/2023 13:35:19 - 0078:	 - train_loss: 0.386709:	 - test_loss: 0.439112:	 mIoU 0.6764
12/02/2023 13:35:22 - 0079:	 - train_loss: 0.413356:	 - test_loss: 0.441417:	 mIoU 0.6717
12/02/2023 13:35:26 - 0080:	 - train_loss: 0.392458:	 - test_loss: 0.440081:	 mIoU 0.6661
12/02/2023 13:35:29 - 0081:	 - train_loss: 0.392952:	 - test_loss: 0.415145:	 mIoU 0.6988
12/02/2023 13:35:33 - 0082:	 - train_loss: 0.409101:	 - test_loss: 0.421312:	 mIoU 0.6909
12/02/2023 13:35:37 - 0083:	 - train_loss: 0.373244:	 - test_loss: 0.419115:	 mIoU 0.6918
12/02/2023 13:35:40 - 0084:	 - train_loss: 0.388657:	 - test_loss: 0.421578:	 mIoU 0.6853
12/02/2023 13:35:44 - 0085:	 - train_loss: 0.416438:	 - test_loss: 0.423582:	 mIoU 0.6815
12/02/2023 13:35:47 - 0086:	 - train_loss: 0.375918:	 - test_loss: 0.432311:	 mIoU 0.6669
12/02/2023 13:35:51 - 0087:	 - train_loss: 0.414092:	 - test_loss: 0.434682:	 mIoU 0.6676
12/02/2023 13:35:54 - 0088:	 - train_loss: 0.412376:	 - test_loss: 0.427873:	 mIoU 0.6800
12/02/2023 13:35:58 - 0089:	 - train_loss: 0.377448:	 - test_loss: 0.451453:	 mIoU 0.6520
12/02/2023 13:36:01 - 0090:	 - train_loss: 0.401374:	 - test_loss: 0.421415:	 mIoU 0.6894
12/02/2023 13:36:05 - 0091:	 - train_loss: 0.382073:	 - test_loss: 0.415233:	 mIoU 0.6935
12/02/2023 13:36:08 - 0092:	 - train_loss: 0.404178:	 - test_loss: 0.432327:	 mIoU 0.6863
12/02/2023 13:36:12 - 0093:	 - train_loss: 0.378458:	 - test_loss: 0.416875:	 mIoU 0.6929
12/02/2023 13:36:15 - 0094:	 - train_loss: 0.385042:	 - test_loss: 0.414687:	 mIoU 0.6956
12/02/2023 13:36:19 - 0095:	 - train_loss: 0.389216:	 - test_loss: 0.426573:	 mIoU 0.6799
12/02/2023 13:36:23 - 0096:	 - train_loss: 0.408032:	 - test_loss: 0.443481:	 mIoU 0.6640
12/02/2023 13:36:26 - 0097:	 - train_loss: 0.377886:	 - test_loss: 0.425453:	 mIoU 0.6861
12/02/2023 13:36:30 - 0098:	 - train_loss: 0.370517:	 - test_loss: 0.410505:	 mIoU 0.6996
12/02/2023 13:36:33 - 0099:	 - train_loss: 0.381718:	 - test_loss: 0.414098:	 mIoU 0.6983
12/02/2023 13:36:37 - 0100:	 - train_loss: 0.363100:	 - test_loss: 0.416590:	 mIoU 0.6934
12/02/2023 13:36:40 - 0101:	 - train_loss: 0.358903:	 - test_loss: 0.414061:	 mIoU 0.6957
12/02/2023 13:36:44 - 0102:	 - train_loss: 0.392108:	 - test_loss: 0.426782:	 mIoU 0.6814
12/02/2023 13:36:47 - 0103:	 - train_loss: 0.389862:	 - test_loss: 0.433891:	 mIoU 0.6689
12/02/2023 13:36:51 - 0104:	 - train_loss: 0.368479:	 - test_loss: 0.461815:	 mIoU 0.6405
12/02/2023 13:36:54 - 0105:	 - train_loss: 0.379359:	 - test_loss: 0.423242:	 mIoU 0.6871
12/02/2023 13:36:58 - 0106:	 - train_loss: 0.385551:	 - test_loss: 0.415875:	 mIoU 0.7003
12/02/2023 13:37:02 - 0107:	 - train_loss: 0.356997:	 - test_loss: 0.413412:	 mIoU 0.7003
12/02/2023 13:37:05 - 0108:	 - train_loss: 0.358270:	 - test_loss: 0.415798:	 mIoU 0.7002
12/02/2023 13:37:09 - 0109:	 - train_loss: 0.381869:	 - test_loss: 0.412055:	 mIoU 0.6984
12/02/2023 13:37:12 - 0110:	 - train_loss: 0.363426:	 - test_loss: 0.425184:	 mIoU 0.6786
12/02/2023 13:37:16 - 0111:	 - train_loss: 0.390158:	 - test_loss: 0.416075:	 mIoU 0.6960
12/02/2023 13:37:19 - 0112:	 - train_loss: 0.374298:	 - test_loss: 0.415043:	 mIoU 0.6898
12/02/2023 13:37:23 - 0113:	 - train_loss: 0.372299:	 - test_loss: 0.402733:	 mIoU 0.7070
12/02/2023 13:37:26 - 0114:	 - train_loss: 0.350815:	 - test_loss: 0.401936:	 mIoU 0.7067
12/02/2023 13:37:30 - 0115:	 - train_loss: 0.361768:	 - test_loss: 0.415707:	 mIoU 0.6925
12/02/2023 13:37:33 - 0116:	 - train_loss: 0.373050:	 - test_loss: 0.405066:	 mIoU 0.7024
12/02/2023 13:37:37 - 0117:	 - train_loss: 0.364980:	 - test_loss: 0.425279:	 mIoU 0.6867
12/02/2023 13:37:40 - 0118:	 - train_loss: 0.367236:	 - test_loss: 0.425439:	 mIoU 0.6837
12/02/2023 13:37:44 - 0119:	 - train_loss: 0.341355:	 - test_loss: 0.416674:	 mIoU 0.6902
12/02/2023 13:37:48 - 0120:	 - train_loss: 0.377037:	 - test_loss: 0.416938:	 mIoU 0.6903
12/02/2023 13:37:51 - 0121:	 - train_loss: 0.384957:	 - test_loss: 0.427873:	 mIoU 0.6790
12/02/2023 13:37:55 - 0122:	 - train_loss: 0.386857:	 - test_loss: 0.408527:	 mIoU 0.7046
12/02/2023 13:37:58 - 0123:	 - train_loss: 0.375231:	 - test_loss: 0.417311:	 mIoU 0.6913
12/02/2023 13:38:02 - 0124:	 - train_loss: 0.361234:	 - test_loss: 0.418459:	 mIoU 0.6951
12/02/2023 13:38:05 - 0125:	 - train_loss: 0.354884:	 - test_loss: 0.423465:	 mIoU 0.6881
12/02/2023 13:38:09 - 0126:	 - train_loss: 0.347574:	 - test_loss: 0.412137:	 mIoU 0.6997
12/02/2023 13:38:12 - 0127:	 - train_loss: 0.363721:	 - test_loss: 0.407226:	 mIoU 0.7045
12/02/2023 13:38:16 - 0128:	 - train_loss: 0.366024:	 - test_loss: 0.415727:	 mIoU 0.6958
12/02/2023 13:38:19 - 0129:	 - train_loss: 0.339378:	 - test_loss: 0.420733:	 mIoU 0.6861
12/02/2023 13:38:23 - 0130:	 - train_loss: 0.403945:	 - test_loss: 0.442494:	 mIoU 0.6631
12/02/2023 13:38:26 - 0131:	 - train_loss: 0.354657:	 - test_loss: 0.435445:	 mIoU 0.6783
12/02/2023 13:38:30 - 0132:	 - train_loss: 0.360417:	 - test_loss: 0.413128:	 mIoU 0.6987
12/02/2023 13:38:34 - 0133:	 - train_loss: 0.353698:	 - test_loss: 0.442117:	 mIoU 0.6570
12/02/2023 13:38:37 - 0134:	 - train_loss: 0.392559:	 - test_loss: 0.435827:	 mIoU 0.6716
12/02/2023 13:38:41 - 0135:	 - train_loss: 0.358539:	 - test_loss: 0.436165:	 mIoU 0.6637
12/02/2023 13:38:44 - 0136:	 - train_loss: 0.340314:	 - test_loss: 0.432233:	 mIoU 0.6769
12/02/2023 13:38:48 - 0137:	 - train_loss: 0.372245:	 - test_loss: 0.405882:	 mIoU 0.7017
12/02/2023 13:38:51 - 0138:	 - train_loss: 0.370506:	 - test_loss: 0.410506:	 mIoU 0.6976
12/02/2023 13:38:55 - 0139:	 - train_loss: 0.378151:	 - test_loss: 0.419319:	 mIoU 0.6883
12/02/2023 13:38:58 - 0140:	 - train_loss: 0.385537:	 - test_loss: 0.427003:	 mIoU 0.6859
12/02/2023 13:39:02 - 0141:	 - train_loss: 0.353216:	 - test_loss: 0.421787:	 mIoU 0.6820
12/02/2023 13:39:05 - 0142:	 - train_loss: 0.352352:	 - test_loss: 0.409935:	 mIoU 0.6965
12/02/2023 13:39:09 - 0143:	 - train_loss: 0.373817:	 - test_loss: 0.420103:	 mIoU 0.6866
12/02/2023 13:39:12 - 0144:	 - train_loss: 0.355970:	 - test_loss: 0.401695:	 mIoU 0.7074
12/02/2023 13:39:16 - 0145:	 - train_loss: 0.370695:	 - test_loss: 0.413876:	 mIoU 0.6924
12/02/2023 13:39:20 - 0146:	 - train_loss: 0.350770:	 - test_loss: 0.415450:	 mIoU 0.6888
12/02/2023 13:39:23 - 0147:	 - train_loss: 0.355784:	 - test_loss: 0.418749:	 mIoU 0.6917
12/02/2023 13:39:27 - 0148:	 - train_loss: 0.352267:	 - test_loss: 0.406286:	 mIoU 0.7019
12/02/2023 13:39:30 - 0149:	 - train_loss: 0.371803:	 - test_loss: 0.406445:	 mIoU 0.7009
12/02/2023 13:39:34 - 0150:	 - train_loss: 0.372401:	 - test_loss: 0.404805:	 mIoU 0.6987
