12/02/2023 15:04:53 - 0003:	 - train_loss: 0.922121:	 - test_loss: 0.955522:	 mIoU 0.0198
12/02/2023 15:04:56 - 0004:	 - train_loss: 0.882705:	 - test_loss: 0.795124:	 mIoU 0.2590
12/02/2023 15:05:00 - 0005:	 - train_loss: 0.788721:	 - test_loss: 0.868189:	 mIoU 0.1660
12/02/2023 15:05:03 - 0006:	 - train_loss: 0.792581:	 - test_loss: 0.726474:	 mIoU 0.3607
12/02/2023 15:05:07 - 0007:	 - train_loss: 0.709835:	 - test_loss: 0.697077:	 mIoU 0.3833
12/02/2023 15:05:10 - 0008:	 - train_loss: 0.718554:	 - test_loss: 0.671620:	 mIoU 0.4516
12/02/2023 15:05:14 - 0009:	 - train_loss: 0.664389:	 - test_loss: 0.664039:	 mIoU 0.4647
12/02/2023 15:05:17 - 0010:	 - train_loss: 0.677172:	 - test_loss: 0.668275:	 mIoU 0.4678
12/02/2023 15:05:20 - 0011:	 - train_loss: 0.643585:	 - test_loss: 0.587757:	 mIoU 0.5559
12/02/2023 15:05:24 - 0012:	 - train_loss: 0.652218:	 - test_loss: 0.627602:	 mIoU 0.4913
12/02/2023 15:05:27 - 0013:	 - train_loss: 0.619115:	 - test_loss: 0.584215:	 mIoU 0.5508
12/02/2023 15:05:31 - 0014:	 - train_loss: 0.675848:	 - test_loss: 0.658710:	 mIoU 0.4408
12/02/2023 15:05:34 - 0015:	 - train_loss: 0.648365:	 - test_loss: 0.592337:	 mIoU 0.5486
12/02/2023 15:05:38 - 0016:	 - train_loss: 0.600955:	 - test_loss: 0.571733:	 mIoU 0.5791
12/02/2023 15:05:41 - 0017:	 - train_loss: 0.591304:	 - test_loss: 0.608079:	 mIoU 0.5181
12/02/2023 15:05:45 - 0018:	 - train_loss: 0.598317:	 - test_loss: 0.560828:	 mIoU 0.5937
12/02/2023 15:05:48 - 0019:	 - train_loss: 0.579012:	 - test_loss: 0.553370:	 mIoU 0.6054
12/02/2023 15:05:52 - 0020:	 - train_loss: 0.562317:	 - test_loss: 0.734451:	 mIoU 0.3519
12/02/2023 15:05:55 - 0021:	 - train_loss: 0.663725:	 - test_loss: 0.607747:	 mIoU 0.5241
12/02/2023 15:05:59 - 0022:	 - train_loss: 0.601292:	 - test_loss: 0.576192:	 mIoU 0.5600
12/02/2023 15:06:02 - 0023:	 - train_loss: 0.594352:	 - test_loss: 0.582740:	 mIoU 0.5580
12/02/2023 15:06:05 - 0024:	 - train_loss: 0.589151:	 - test_loss: 0.588327:	 mIoU 0.5481
12/02/2023 15:06:09 - 0025:	 - train_loss: 0.570476:	 - test_loss: 0.532131:	 mIoU 0.6157
12/02/2023 15:06:12 - 0026:	 - train_loss: 0.581296:	 - test_loss: 0.577461:	 mIoU 0.5599
12/02/2023 15:06:16 - 0027:	 - train_loss: 0.585147:	 - test_loss: 0.560169:	 mIoU 0.5839
12/02/2023 15:06:19 - 0028:	 - train_loss: 0.540097:	 - test_loss: 0.533853:	 mIoU 0.6254
12/02/2023 15:06:23 - 0029:	 - train_loss: 0.566283:	 - test_loss: 0.537539:	 mIoU 0.6196
12/02/2023 15:06:26 - 0030:	 - train_loss: 0.536624:	 - test_loss: 0.535451:	 mIoU 0.6149
